id,smoking
159256,0.60528886
159257,0.42707834
159258,0.4370616
159259,0.03825542
159260,0.7873228
159261,0.94784594
159262,0.41956675
159263,0.05508791
159264,0.1553252
159265,0.023618447
159266,0.2589213
159267,0.248643
159268,0.0033691635
159269,0.09932742
159270,0.0063115503
159271,0.659347
159272,0.847143
159273,0.83295697
159274,0.040199667
159275,0.23486008
159276,0.26079592
159277,0.9091272
159278,0.693661
159279,0.7348095
159280,0.028134637
159281,0.85930616
159282,0.8059244
159283,0.7194672
159284,0.7300804
159285,0.0016133984
159286,0.7300803
159287,0.0110795135
159288,0.2037953
159289,0.6914834
159290,0.49617496
159291,0.49550954
159292,0.06309772
159293,0.03200763
159294,0.16485976
159295,0.67687213
159296,0.8698499
159297,0.009853029
159298,0.29194686
159299,0.00335658
159300,0.008991609
159301,0.012090392
159302,0.07394505
159303,0.17778644
159304,0.30096707
159305,0.792884
159306,0.85763896
159307,0.20704445
159308,0.37049288
159309,0.0979102
159310,0.554893
159311,0.71078753
159312,0.23089768
159313,0.37912694
159314,0.7801316
159315,0.6244142
159316,0.048453424
159317,0.44687915
159318,0.25320578
159319,0.70612603
159320,0.6990143
159321,0.14038488
159322,0.74974895
159323,0.6179698
159324,0.33710796
159325,0.4419863
159326,0.8661211
159327,0.7599285
159328,0.46753812
159329,0.26027617
159330,0.0067804614
159331,0.7766227
159332,0.013873405
159333,0.0036008903
159334,0.3118644
159335,0.10683538
159336,0.65055996
159337,0.84359944
159338,0.40545478
159339,0.9454065
159340,0.49949965
159341,0.83189476
159342,0.71139896
159343,0.5758048
159344,0.59272367
159345,0.013451445
159346,0.5493311
159347,0.643106
159348,0.81205434
159349,0.00412333
159350,0.008653663
159351,0.715233
159352,0.72356194
159353,0.19557764
159354,0.007659066
159355,0.8029581
159356,0.78837115
159357,0.9561318
159358,0.37025875
159359,0.7496612
159360,0.13675655
159361,0.7372434
159362,0.014125235
159363,0.76809865
159364,0.65622747
159365,0.7951061
159366,0.00055104296
159367,0.41443637
159368,0.4723383
159369,0.6609676
159370,0.28538626
159371,0.37533668
159372,0.24219008
159373,0.76107514
159374,0.57163376
159375,0.9185712
159376,0.7859995
159377,0.0015343394
159378,0.81329274
159379,0.28182456
159380,0.06444519
159381,0.034255043
159382,0.56640106
159383,0.004890819
159384,0.45461717
159385,0.03643342
159386,0.5207646
159387,0.9087709
159388,0.48956487
159389,0.0027369198
159390,0.6834137
159391,0.33482677
159392,0.81803644
159393,0.010765025
159394,0.15748441
159395,0.8522417
159396,0.87143815
159397,0.7016986
159398,0.898298
